"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","377","All fields visible","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","369","Register button enabled","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1064","Election card visible","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","542","Header login button visible","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1465","Voter login button works","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","410","Live tag visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","749","Invalid email format","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","2626","Valid login","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1613","Login with only email","chromium","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","627","Mobile view results page","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","623","Page refresh","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","858","Homepage loads successfully","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","0","Click Register navigates","firefox","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","771","Election card visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","402","Page loads without crash","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1462","Sign in button enabled","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1340","Empty form","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1176","Weak password","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","745","Only password filled","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","730","Special characters in name","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","639","Main heading visible","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","2159","Back navigation works","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1925","Login with only password","webkit","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","774","Email case sensitivity","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","694","Mobile view results page","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","446","Special characters in name","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","909","Refresh results page","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","907","Vote count format valid","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","2401","Invalid email format","webkit","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","978","Vote count visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","719","Navigate to login page","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","767","Heading contains expected text","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1816","Press Enter to login","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","524","Images load correctly","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","3477","Multiple invalid login attempts","webkit","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1762","Back navigation works","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","2399","Empty login submission","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","427","Results data not empty","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1749","get started link","webkit","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","1795","Login button disabled when empty","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","578","Mobile view loads","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1570","Candidate names visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","681","Images load correctly","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","709","Page load performance","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","435","Duplicate email","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","527","Subtext should not be empty","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","721","Heading CSS check","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","598","Subtext visible","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","879","Resize window","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1534","Press Enter to login","chromium","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1284","Email case sensitivity","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","868","No console errors","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","603","All fields visible","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","577","Register page loads","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","985","Chart visible (if present)","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1378","Input field types correct","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","871","Subtext visible","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","11782","Reload retains login UI","webkit","2026-04-02","failed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","0","Multiple candidates present","webkit","2026-04-02","skipped","2026-04-02","Results Page Tests","results.spec.js","",""
"","1870","Multiple clicks on login button","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","654","Favicon present","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","415","get started link","chromium","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","572","Page scroll works","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1103","Refresh results page","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","2137","Valid voter login","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1506","Press Enter to login","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1859","Valid registration","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","658","Register button enabled","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","500","Heading contains expected text","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","771","Heading visible","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1844","Email and password placeholders exist","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","671","No console errors","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1493","Multiple clicks on login button","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","749","Empty form","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","420","Percentage values present (if available)","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1140","Page refresh","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","746","Scroll results page","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","591","Password is masked","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","675","All fields visible","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","624","Homepage loads successfully","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","501","Main heading visible","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","657","Buttons clickable","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","990","Vote count format valid","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1607","No console errors on login page","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","862","Valid registration","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","929","Forward navigation","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1920","Invalid login stays on login page","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","840","Open login in new tab","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1120","Only password filled","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","0","Invalid voter login","firefox","2026-04-02","skipped","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","496","Page uses HTTPS","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","680","URL contains results","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1380","Login page URL correct","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","720","Back navigation works","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","534","Heading contains expected text","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1632","Login fields visible","chromium","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","0","Page title is correct","webkit","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","993","Candidate names visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1966","Valid voter login","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","620","Subtext should not be empty","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","0","Invalid login","firefox","2026-04-02","skipped","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","453","Page load performance","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","474","Long input values","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","563","Logo text visible","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1949","Invalid email format validation","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1429","Valid voter login","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","754","Duplicate email","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","695","Page uses HTTPS","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","423","Empty form","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","992","Only voter ID filled","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1435","Login with only password","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","552","Voter login button visible","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1388","Forward navigation works","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","419","Navigate to login page","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","580","All main buttons present","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","763","Page scroll works","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","2121","Invalid email format","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1586","Sign in button enabled","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","536","No console errors","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","2418","Login with only password","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","779","Vote count visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","955","Navigate to login page","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1576","Click voter login navigates to login page","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","651","Navigate to results page","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1810","Input field types correct","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1384","Login button disabled when empty","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","596","Page heading visible","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","506","Back navigation works","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1472","Multiple clicks voter login","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","639","Back navigation works","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","566","No console errors","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","796","All main buttons present","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1140","Reload retains input fields","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","621","Login button focus works","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","775","Leading candidate displayed","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","462","Weak password","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1042","Candidate list visible","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","451","Missing voter ID","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","0","Multiple candidates present","chromium","2026-04-02","skipped","2026-04-02","Results Page Tests","results.spec.js","",""
"","544","Refresh results page","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","558","All main buttons present","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","762","Special characters in password","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1","Theme toggle works","firefox","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","384","Page heading visible","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","866","Results persist after reload","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1041","Special characters in password","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","611","Page heading visible","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1388","Login fields visible","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1951","Invalid login stays on login page","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","587","Images load correctly","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","747","Main heading visible","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","0","Register button visible","chromium","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","2433","Login with only email","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1118","Duplicate email","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1893","Press Enter to login","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1691","Email and password placeholders exist","webkit","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1192","Header login button visible","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","593","Forward navigation","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","496","Chart visible (if present)","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","0","Buttons are enabled","chromium","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","449","Special characters in password","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1006","Invalid voter ID format","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","371","Password is masked","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","411","Form retains values","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","414","Mobile view login page","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","630","Results load quickly","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1383","Open login in new tab","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","538","Resize window","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1005","Results persist after reload","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","569","Logo text visible","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","421","has title","firefox","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","753","get started link","firefox","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","704","Scroll results page","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","428","Heading visible","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1449","Login with only email","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","662","Forward navigation works","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","775","Results load quickly","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","791","No duplicate login buttons","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","461","Only name filled","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","373","Voter login button visible on homepage","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1427","Invalid login stays on login page","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","634","Heading visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","885","Logo is visible","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","568","Buttons clickable","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1180","Leading candidate displayed","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","1805","Login fields visible","firefox","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","0","Invalid login","webkit","2026-04-02","skipped","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1397","Click voter login navigates to login page","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","835","Reload retains input fields","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","762","Percentage values present (if available)","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","687","Multiple clicks on results button","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","420","URL contains results","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","683","Results data not empty","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","903","Logo text visible","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","565","Back navigation to homepage","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","444","Results load quickly","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","804","Weak password","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1968","Password field should be masked","firefox","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1146","Special characters in name","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","1091","Only name filled","webkit","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","639","Live tag visible","webkit","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","875","Double click login button","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1402","Password field masked","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1185","Open login in new tab","webkit","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","1594","Invalid email format","chromium","2026-04-02","passed","2026-04-02","Admin Login Flow","admin.spec.js","",""
"","1446","Invalid email format validation","chromium","2026-04-02","passed","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","0","Theme toggle works","chromium","2026-04-02","skipped","2026-04-02","Homepage Tests","home.spec.js","",""
"","0","Invalid voter login","chromium","2026-04-02","skipped","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","1123","Vote count visible","firefox","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","659","Form retains values","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","0","Invalid voter login","webkit","2026-04-02","skipped","2026-04-02","Voter Login Module","voterLogin.spec.js","",""
"","454","Only voter ID filled","chromium","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","651","Double click login button","chromium","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
"","409","Mobile view results page","chromium","2026-04-02","passed","2026-04-02","Results Page Tests","results.spec.js","",""
"","762","Only voter ID filled","firefox","2026-04-02","passed","2026-04-02","Register Page Tests","register.spec.js","",""
"","940","Back navigation to homepage","firefox","2026-04-02","passed","2026-04-02","Homepage Tests","home.spec.js","",""
